"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"ALB","Albemarle Corp","Common stocks","Large cap","Materials","$33,238,800,364","0.55%","115.22","9.17","5.56","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$33,144,074,367","1.65%","20.47","3.55","11.34","Analyze"
"BF.B","Brown Forman Inc Class B","Common stocks","Large cap","Consumer Staples","$32,953,237,906","1.09%","25.88","8.79","8.29","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$32,468,289,732","1.47%","12.09","1.58","4.53","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$32,214,926,000","0.00%","49.04","6.92","3.15","Analyze"
"GPN","Global Payments Inc","Common stocks","Large cap","Information Technology","$32,192,469,441","0.86%","32.05","3.70","1.29","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$32,094,555,402","0.00%","17.63","8.06","7.19","Analyze"
"KR","Kroger","Common stocks","Large cap","Consumer Staples","$31,996,542,459","1.98%","29.32","0.00","3.38","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$31,832,639,575","0.00%","22.51","1.21","4.14","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$31,700,877,028","1.97%","19.39","4.77","-3.76","Analyze"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$31,653,663,403","0.92%","69.73","13.30","-5.63","Analyze"
"ED","Consolidated Edison Inc","Common stocks","Large cap","Utilities","$31,596,809,683","3.49%","20.01","2.25","1.50","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$31,408,833,672","1.72%","14.30","1.66","2.62","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$31,383,209,109","6.88%","14.08","6.07","9.63","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$31,260,198,490","1.50%","15.85","1.29","2.60","Analyze"
"CMI","Cummins Inc","Common stocks","Large cap","Industrials","$31,234,029,314","2.65%","16.26","1.28","3.75","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$31,233,619,534","1.67%","3.87","0.78","2.03","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$31,020,473,332","1.35%","27.42","1.63","7.68","Analyze"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$30,562,313,349","0.00%","33.70","6.09","-10.32","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$30,532,151,422","0.40%","26.84","5.43","8.69","Analyze"
"VICI","VICI Properties Inc","REITs","Large cap","Real Estate","$30,202,609,777","4.60%","30.69","19.46","1.96","Analyze"
"KEYS","Keysight Technologies Inc","Common stocks","Large cap","Information Technology","$30,153,991,779","0.00%","29.49","5.87","7.98","Analyze"
"AMP","Ameriprise Finance Inc","Common stocks","Large cap","Financials","$30,036,483,804","1.70%","9.69","2.18","5.96","Analyze"
"WBD","Warner Bros. Discovery, Inc. - Series A","Common stocks","Large cap","Communication Services","$30,005,047,762","0.00%","23.87","2.39","2.48","Analyze"
"ON","ON Semiconductor Corp","Common stocks","Large cap","Information Technology","$29,858,652,550","0.00%","20.77","4.15","6.02","Analyze"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$29,836,825,033","3.52%","-22.47","3.26","2.15","Analyze"
"ABC","AmerisourceBergen Corp","Common stocks","Large cap","Health Care","$29,581,947,471","1.28%","17.10","0.13","53.65","Analyze"
"NDAQ","Nasdaq Inc","Common stocks","Large cap","Financials","$29,424,677,000","1.26%","25.03","5.10","4.88","Analyze"
"DLR","Digital Realty Trust, Inc","REITs","Large cap","Real Estate","$29,375,955,531","4.65%","20.74","6.58","1.61","Analyze"
"WEC","WEC Energy Group Inc","Common stocks","Large cap","Utilities","$29,366,954,836","3.04%","21.06","3.44","2.53","Analyze"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$29,226,445,290","1.89%","86.65","5.78","1.58","Analyze"
"CSGP","Costar Group Inc","Common stocks","Large cap","Industrials","$29,209,189,082","0.00%","95.75","14.59","5.08","Analyze"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$29,200,355,350","0.47%","-46.04","1.39","2.60","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$29,021,409,026","0.00%","39.68","8.86","45.56","Analyze"
"BAX","Baxter International Inc","Common stocks","Large cap","Health Care","$28,932,435,979","1.97%","27.50","2.14","3.20","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$28,857,529,577","5.63%","4.56","0.21","1.07","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$28,204,134,314","0.68%","28.15","9.25","10.62","Analyze"
"OTIS","Otis Worldwide Corporation","Common stocks","Large cap","Industrials","$28,176,529,719","1.57%","22.69","1.97","-5.63","Analyze"
"ES","Eversource Energy","Common stocks","Large cap","Utilities","$28,068,837,462","3.07%","21.06","2.67","1.84","Analyze"
"PPG","PPG Industries Inc","Common stocks","Large cap","Materials","$27,999,936,874","1.99%","26.19","1.63","4.54","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$27,808,706,987","2.48%","28.11","4.42","8.80","Analyze"
"AME","Ametek Inc","Common stocks","Large cap","Industrials","$27,806,525,634","0.71%","26.64","4.80","4.01","Analyze"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$27,409,352,679","2.34%","17.48","1.72","1.04","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$27,112,283,941","0.00%","24.81","8.05","6.17","Analyze"
"HPQ","HP Inc","Common stocks","Large cap","Information Technology","$26,798,210,405","3.71%","4.13","0.41","-11.57","Analyze"
"ROK","Rockwell Automation Inc","Common stocks","Large cap","Industrials","$26,761,383,218","1.92%","42.02","3.66","10.29","Analyze"
"GLW","Corning Inc","Common stocks","Large cap","Information Technology","$26,652,881,080","3.29%","24.40","1.84","2.14","Analyze"
"DFS","Discover Financial Services","Common stocks","Large cap","Financials","$26,606,885,789","2.24%","5.27","2.18","1.97","Analyze"
"MTD","Mettler Toledo Inc","Common stocks","Large cap","Health Care","$26,540,019,578","0.00%","34.11","6.96","320.01","Analyze"
"GWW","W.W. Grainger Inc","Common stocks","Large cap","Industrials","$26,515,592,970","1.28%","22.54","1.95","12.68","Analyze"
"LYB","Lyondellbasell Industries NV","Common stocks","Large cap","Materials","$26,445,520,663","5.53%","4.51","0.53","2.08","Analyze"
"AVB","AvalonBay Communities, Inc","REITs","Large cap","Real Estate","$26,310,586,284","3.34%","22.70","11.16","2.33","Analyze"
"EQR","Equity Residential","REITs","Large cap","Real Estate","$25,756,578,445","3.57%","18.63","10.22","2.31","Analyze"
"DHI","D R Horton Inc","Common stocks","Large cap","Consumer Discretionary","$25,640,658,926","1.21%","5.03","0.84","1.51","Analyze"
"HRL","Hormel Foods Corp","Common stocks","Large cap","Consumer Staples","$25,616,667,628","2.17%","27.31","2.14","3.56","Analyze"
"FRC","First Republic Bank","Common stocks","Large cap","Financials","$25,572,723,546","0.69%","17.71","4.90","1.56","Analyze"
"TROW","T Rowe Price Group Inc","Common stocks","Large cap","Financials","$25,561,834,127","4.07%","8.80","3.32","2.78","Analyze"
"HAL","Halliburton","Common stocks","Large cap","Energy","$25,503,274,588","1.44%","17.11","1.58","3.78","Analyze"
"OKE","Oneok Inc","Common stocks","Large cap","Energy","$25,167,280,625","6.49%","16.80","1.34","4.21","Analyze"
"AWK","American Water Works Inc","Common stocks","Large cap","Utilities","$24,817,489,294","1.83%","18.83","6.39","3.25","Analyze"
"K","Kellogg","Common stocks","Large cap","Consumer Staples","$24,528,956,411","3.20%","15.86","1.72","6.44","Analyze"
"IFF","International Flavors & Fragrances","Common stocks","Large cap","Materials","$24,370,391,855","3.29%","42.46","1.96","1.13","Analyze"
"STT","State Street Corp","Common stocks","Large cap","Financials","$24,119,506,144","3.52%","9.02","2.12","0.92","Analyze"
"EXR","Extra Space Storage Inc","REITs","Large cap","Real Estate","$24,033,193,101","3.17%","28.80","14.46","7.43","Analyze"
"APTV","Aptiv Plc","Common stocks","Large cap","Consumer Discretionary","$23,877,142,420","0.00%","73.51","1.51","2.81","Analyze"
"ARE","Alexandria Real Estate Equities, Inc","REITs","Large cap","Real Estate","$23,749,145,046","3.16%","57.23","10.56","1.36","Analyze"
"FANG","Diamondback Energy Inc","Common stocks","Large cap","Energy","$23,640,016,614","1.84%","8.82","2.95","1.90","Analyze"
"CBRE","CBRE Group Inc","Common stocks","Large cap","Real Estate","$23,599,679,983","0.00%","11.94","0.81","2.77","Analyze"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$23,549,143,422","1.72%","42.18","4.27","12.77","Analyze"
"FITB","Fifth Third Bancorp","Common stocks","Large cap","Financials","$23,536,301,496","3.54%","9.54","3.34","1.16","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$23,462,582,750","2.31%","78.39","1.14","1.53","Analyze"
"WTW","Willis Towers Watson Public Limited Company","Common stocks","Large cap","Financials","$23,434,760,918","1.53%","5.40","2.57","2.13","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Common stocks","Large cap","Health Care","$23,434,745,316","0.86%","58.77","3.06","1.96","Analyze"
"IT","Gartner Inc","Common stocks","Large cap","Information Technology","$23,320,836,120","0.00%","29.57","4.77","200.68","Analyze"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$23,205,503,247","1.26%","15.51","2.22","2.71","Analyze"
"EIX","Edison International","Common stocks","Large cap","Utilities","$23,202,507,648","4.53%","39.25","1.46","1.46","Analyze"
"DTE","DTE Energy","Common stocks","Large cap","Utilities","$22,982,946,759","2.95%","24.91","1.42","2.54","Analyze"
"LEN","Lennar Corporation Class A","Common stocks","Large cap","Consumer Discretionary","$22,977,670,594","1.69%","5.18","0.82","0.98","Analyze"
"CTRA","Coterra Energy Inc.","Common stocks","Large cap","Energy","$22,738,110,159","1.98%","13.97","4.87","1.95","Analyze"
"CDW","CDW Corp","Common stocks","Large cap","Information Technology","$22,475,148,865","1.20%","22.36","1.02","25.20","Analyze"
"EFX","Equifax Inc","Common stocks","Large cap","Industrials","$22,313,559,924","0.85%","28.82","4.40","5.75","Analyze"
"EPAM","Epam Systems Inc","Common stocks","Large cap","Information Technology","$22,302,162,864","0.00%","46.06","5.38","8.34","Analyze"
"FE","Firstenergy Corp","Common stocks","Large cap","Utilities","$22,255,846,351","3.95%","17.46","1.95","2.47","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$22,243,897,009","0.00%","12.58","3.96","1.35","Analyze"
"FTV","Fortive Corp","Common stocks","Large cap","Industrials","$22,149,254,183","0.45%","34.16","4.12","2.30","Analyze"
"GPC","Genuine Parts","Common stocks","Large cap","Consumer Discretionary","$22,129,700,434","2.22%","24.03","1.12","6.20","Analyze"
"WY","Weyerhaeuser Company","REITs","Large cap","Real Estate","$22,128,015,350","2.34%","8.18","2.05","2.16","Analyze"
"TSCO","Tractor Supply","Common stocks","Large cap","Consumer Discretionary","$21,965,807,414","1.65%","22.31","1.69","12.50","Analyze"
"VMC","Vulcan Materials","Common stocks","Large cap","Materials","$21,790,442,713","0.95%","36.11","3.62","3.32","Analyze"
"AEE","Ameren Corp","Common stocks","Large cap","Utilities","$21,721,216,762","2.75%","20.85","3.24","2.15","Analyze"
"ETR","Entergy Corp","Common stocks","Large cap","Utilities","$21,592,820,169","3.76%","20.13","1.83","1.81","Analyze"
"INVH","Invitation Homes Inc","REITs","Large cap","Real Estate","$21,387,011,211","2.35%","70.59","10.41","2.05","Analyze"
"HIG","Hartford Financial Services Group","Common stocks","Large cap","Financials","$21,314,471,253","2.32%","8.35","0.99","1.34","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$21,244,054,179","2.16%","1.85","2.07","3.05","Analyze"
"PAYC","Paycom Software Inc","Common stocks","Large cap","Information Technology","$20,986,411,788","0.00%","94.55","18.46","20.92","Analyze"
"MLM","Martin Marietta Materials Inc","Common stocks","Large cap","Materials","$20,951,060,359","0.74%","31.66","3.70","3.24","Analyze"
"CF","CF Industries Holdings Inc","Common stocks","Large cap","Materials","$20,934,311,807","1.33%","12.39","2.50","5.11","Analyze"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$20,690,924,117","0.00%","20.57","2.40","13.21","Analyze"
"URI","United Rentals Inc","Common stocks","Large cap","Industrials","$20,593,893,505","0.00%","13.27","2.02","3.38","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$20,305,283,365","0.00%","44.92","10.31","4.67","Analyze"
"MOH","Molina Healthcare Inc","Common stocks","Large cap","Health Care","$20,246,107,000","0.00%","29.89","0.70","7.37","Analyze"
"HBAN","Huntington Bancshares Inc","Common stocks","Large cap","Financials","$20,118,611,099","4.37%","18.25","3.21","1.07","Analyze"
"LH","Laboratory Corporation Of America","Common stocks","Large cap","Health Care","$20,024,127,000","0.67%","9.50","1.26","1.86","Analyze"
"MKC","McCormick & Co  Non-voting","Common stocks","Large cap","Consumer Staples","$19,998,022,745","1.94%","24.54","3.14","3.99","Analyze"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$19,996,081,355","3.28%","8.56","3.44","1.16","Analyze"
"DAL","Delta Air Lines Inc","Common stocks","Large cap","Industrials","$19,716,835,979","0.00%","37.93","0.56","6.54","Analyze"
"LUV","Southwest Airlines","Common stocks","Large cap","Industrials","$19,693,291,844","0.00%","33.52","1.07","1.88","Analyze"
"PFG","Principal Financial Group Inc","Common stocks","Large cap","Financials","$19,689,749,465","3.20%","12.47","1.39","1.65","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$19,682,184,128","0.00%","24.91","14.57","-15.35","Analyze"
"PPL","PPL Corporation","Common stocks","Large cap","Utilities","$19,626,685,942","3.94%","30.38","3.24","1.39","Analyze"
"TSN","Tyson Foods Inc Class A","Common stocks","Large cap","Consumer Staples","$19,537,560,796","2.71%","4.76","0.38","1.02","Analyze"
"PWR","Quanta Services Inc","Common stocks","Large cap","Industrials","$19,455,412,841","0.21%","40.02","1.37","3.75","Analyze"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$19,434,468,596","0.00%","46.77","5.55","5.13","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$19,337,631,805","0.28%","28.09","6.71","8.27","Analyze"
"IR","Ingersoll Rand Plc","Common stocks","Large cap","Industrials","$18,977,732,306","0.17%","15.54","3.54","2.10","Analyze"
"NTRS","Northern Trust Corporation","Common stocks","Large cap","Financials","$18,961,089,819","3.10%","12.49","2.97","1.65","Analyze"
"MOS","Mosaic","Common stocks","Large cap","Materials","$18,856,231,622","0.93%","6.96","1.35","1.59","Analyze"
"MRO","Marathon Oil Corp","Common stocks","Large cap","Energy","$18,753,807,764","1.09%","8.94","3.03","1.69","Analyze"
"DRE","Duke Realty Corporation","REITs","Large cap","Real Estate","$18,556,648,911","2.31%","18.16","16.95","2.98","Analyze"
"CNP","Centerpoint Energy Inc","Common stocks","Large cap","Utilities","$18,526,270,671","2.33%","11.51","2.16","1.82","Analyze"
"LYV","Live Nation Entertainment Inc","Common stocks","Large cap","Communication Services","$18,503,532,879","0.00%","-41.37","2.38","-35.83","Analyze"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$18,435,333,890","0.72%","67.74","13.85","14.11","Analyze"
"CAH","Cardinal Health Inc","Common stocks","Large cap","Health Care","$18,293,778,870","2.79%","-19.04","0.10","-26.08","Analyze"
"MAA","Mid-America Apartment Communities, Inc","REITs","Large cap","Real Estate","$18,288,974,154","2.78%","29.86","10.00","2.99","Analyze"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$18,268,683,017","1.07%","54.65","7.37","16.31","Analyze"
"CFG","Citizens Financial Group Inc","Common stocks","Large cap","Financials","$18,155,417,779","4.28%","8.89","2.74","0.81","Analyze"
"WRB","WR Berkley Corp","Common stocks","Large cap","Financials","$18,081,006,317","0.55%","13.03","1.77","2.63","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$17,957,852,813","0.00%","25.32","4.45","4.87","Analyze"
"BRO","Brown & Brown Inc","Common stocks","Large cap","Financials","$17,879,355,228","0.65%","29.61","5.70","4.15","Analyze"
"DOV","Dover Corp","Common stocks","Large cap","Industrials","$17,860,405,399","1.60%","15.94","2.21","4.11","Analyze"
"CHD","Church And Dwight Inc","Common stocks","Large cap","Consumer Staples","$17,817,401,996","1.41%","21.71","3.39","5.18","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$17,585,573,975","1.00%","70.96","3.84","2.64","Analyze"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$17,580,049,145","2.97%","17.00","2.29","1.73","Analyze"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$17,485,555,712","0.68%","0.00","1.22","0.00","Analyze"
"JBHT","JB Hunt Transport Services Inc","Common stocks","Large cap","Industrials","$17,443,203,353","0.89%","20.16","1.34","5.31","Analyze"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$17,256,239,856","0.00%","24.72","6.02","46.45","Analyze"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$17,084,342,097","1.63%","6.13","1.24","0.63","Analyze"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$17,084,342,097","1.51%","8.36","1.24","0.86","Analyze"
"AES","AES Corp","Common stocks","Large cap","Utilities","$16,878,682,375","2.44%","-116.29","1.49","5.58","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$16,796,140,592","4.20%","17.35","1.19","3.66","Analyze"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$16,782,129,592","1.26%","39.56","3.22","5.22","Analyze"
"TDY","Teledyne Technologies Inc","Common stocks","Large cap","Information Technology","$16,760,202,276","0.00%","28.94","3.27","2.12","Analyze"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$16,614,416,001","0.00%","10.65","3.08","3.45","Analyze"
"HPE","Hewlett Packard Enterprise","Common stocks","Large cap","Information Technology","$16,534,106,514","3.69%","4.48","0.59","0.82","Analyze"
"DRI","Darden Restaurants Inc","Common stocks","Large cap","Consumer Discretionary","$16,388,181,505","3.36%","15.87","1.76","7.22","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$16,328,266,369","4.34%","109.92","4.15","1.49","Analyze"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$16,279,913,379","3.69%","15.62","1.43","1.85","Analyze"
"CLX","Clorox","Common stocks","Large cap","Consumer Staples","$16,210,720,773","3.50%","35.41","2.28","40.55","Analyze"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Health Care","$16,173,073,945","0.22%","22.72","3.22","2.31","Analyze"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$16,103,403,606","1.57%","14.93","3.17","2.57","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$16,093,084,970","0.65%","27.08","2.03","1.60","Analyze"
"FDS","Factset Research Systems Inc","Common stocks","Large cap","Financials","$16,039,182,613","0.81%","38.38","9.62","13.24","Analyze"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$15,989,331,640","3.50%","39.13","10.90","2.58","Analyze"
"KEY","Keycorp","Common stocks","Large cap","Financials","$15,963,901,277","4.49%","6.72","2.29","1.03","Analyze"
"IEX","IDEX Corp","Common stocks","Large cap","Industrials","$15,898,181,437","1.08%","33.07","5.55","5.44","Analyze"
"BALL","Ball Corporation","Common stocks","Large cap","Materials","$15,891,384,571","1.58%","14.24","1.10","4.11","Analyze"
"EXPE","Expedia Inc","Common stocks","Large cap","Consumer Discretionary","$15,522,788,815","0.00%","70.00","1.62","7.24","Analyze"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$15,472,274,971","0.00%","16.57","4.97","4.00","Analyze"
"EXPD","Expeditors International Of Washington","Common stocks","Large cap","Industrials","$15,352,835,464","1.37%","10.33","0.85","3.96","Analyze"
"CINF","Cincinnati Financial Corp","Common stocks","Large cap","Financials","$15,313,395,384","2.78%","7.49","1.78","1.27","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$15,262,125,912","2.78%","3.74","0.97","1.11","Analyze"
"BBY","Best Buy Inc","Common stocks","Large cap","Consumer Discretionary","$15,173,816,392","4.87%","8.89","0.00","5.06","Analyze"
"SJM","J.M. Smucker","Common stocks","Large cap","Consumer Staples","$15,142,864,298","2.78%","26.11","1.92","1.82","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$15,089,500,737","0.00%","92.86","8.60","6.40","Analyze"
"ATO","Atmos Energy Corp","Common stocks","Large cap","Utilities","$14,885,898,994","2.53%","20.08","3.92","1.62","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$14,789,874,763","2.48%","10.93","2.92","2.89","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$14,627,093,519","2.06%","7.95","1.37","2.34","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$14,586,636,883","0.00%","17.93","2.55","5.02","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$14,559,779,604","0.00%","29.21","3.87","3.58","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$14,559,652,955","0.00%","50.86","4.68","-117.96","Analyze"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$14,467,861,325","2.97%","14.43","2.34","16.56","Analyze"
"CPB","Campbell Soup","Common stocks","Large cap","Consumer Staples","$14,387,453,593","3.04%","15.47","1.73","4.25","Analyze"
"CTLT","Catalent Inc","Common stocks","Large cap","Health Care","$14,353,896,334","0.00%","30.04","3.05","3.15","Analyze"
"EVRG","Evergy Inc","Common stocks","Large cap","Utilities","$14,237,249,598","3.65%","17.03","2.74","1.49","Analyze"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$14,183,246,532","0.00%","9.97","1.53","5.17","Analyze"
"FMC","FMC Corp","Common stocks","Large cap","Materials","$14,162,860,206","1.87%","18.54","2.72","4.61","Analyze"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$14,134,764,221","0.00%","16.07","4.69","4.83","Analyze"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$14,121,550,973","1.64%","19.16","1.62","7.23","Analyze"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$13,952,300,449","0.00%","32.63","5.92","21.01","Analyze"
"HWM","Howmet Aerospace Inc.","Common stocks","Large cap","Industrials","$13,920,155,133","0.24%","45.10","2.74","4.01","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$13,854,704,584","0.00%","22.06","3.93","3.16","Analyze"
"IRM","Iron Mountain Incorporated","REITs","Large cap","Real Estate","$13,824,917,978","5.11%","30.59","2.97","18.04","Analyze"
"LNT","Alliant Energy Corp","Common stocks","Large cap","Utilities","$13,803,452,022","3.03%","19.58","3.60","2.19","Analyze"
"LKQ","LKQ Corp","Common stocks","Large cap","Consumer Discretionary","$13,796,328,094","1.97%","12.55","1.04","2.38","Analyze"
"COO","Cooper Companies, Inc.","Common stocks","Large cap","Health Care","$13,795,657,026","0.02%","14.58","4.55","1.98","Analyze"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$13,773,497,627","3.47%","85.37","10.23","3.93","Analyze"
"JKHY","Jack Henry & Associates, Inc.","Common stocks","Large cap","Information Technology","$13,748,009,458","1.02%","38.15","7.20","10.32","Analyze"
"OMC","Omnicom Group Inc","Common stocks","Large cap","Communication Services","$13,699,883,923","4.12%","10.94","0.96","4.53","Analyze"
"SEDG","SolarEdge Technologies Inc","Common stocks","Large cap","Information Technology","$13,634,687,948","0.00%","75.33","6.16","6.45","Analyze"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$13,451,293,617","0.13%","17.95","1.08","1.97","Analyze"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$13,190,138,072","0.00%","-111.08","4.55","1.10","Analyze"
"POOL","Pool Corp","Common stocks","Large cap","Consumer Discretionary","$13,176,157,570","1.08%","17.91","2.33","11.15","Analyze"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$13,137,439,827","0.00%","27.48","6.99","6.33","Analyze"
"PARA","Paramount Global - Class B","Common stocks","Large cap","Communication Services","$13,131,368,802","4.75%","2.93","0.46","0.53","Analyze"
"CPT","Camden Property Trust","REITs","Large cap","Real Estate","$13,117,867,279","2.93%","36.01","11.05","3.02","Analyze"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$12,925,198,593","0.03%","8.62","1.19","2.61","Analyze"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$12,885,204,739","4.95%","29.32","6.64","1.96","Analyze"
"NDSN","Nordson Corp","Common stocks","Large cap","Industrials","$12,831,787,006","0.97%","25.69","5.25","5.76","Analyze"
"L","Loews Corp","Common stocks","Large cap","Financials","$12,815,989,174","0.47%","7.69","0.95","0.77","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$12,804,359,806","0.53%","13.15","3.48","5.19","Analyze"
"APA","Apache Corp","Common stocks","Large cap","Energy","$12,786,924,668","1.11%","5.32","1.46","14.20","Analyze"
"LDOS","Leidos Holdings Inc","Common stocks","Large cap","Industrials","$12,747,433,870","1.53%","33.76","0.00","3.19","Analyze"
"CBOE","Cboe Global Markets, Inc.","Common stocks","Large cap","Financials","$12,724,287,653","1.61%","25.40","3.68","3.56","Analyze"
"CTXS","Citrix Systems Inc","Common stocks","Large cap","Information Technology","$12,565,596,160","1.49%","47.48","3.85","19.84","Analyze"
"CHRW","C.H. Robinson Worldwide, Inc.","Common stocks","Large cap","Industrials","$12,435,405,554","2.18%","13.11","0.50","5.89","Analyze"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$12,338,585,701","6.20%","8.88","1.06","3.39","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$12,301,231,292","3.77%","8.99","0.78","1.30","Analyze"
"TECH","Bio-Techne Corp","Common stocks","Large cap","Health Care","$12,102,537,490","0.41%","53.65","11.24","7.06","Analyze"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$12,062,300,973","5.01%","21.32","4.12","2.00","Analyze"
"HST","Host Hotels & Resorts, Inc","REITs","Large cap","Real Estate","$12,045,940,664","1.24%","37.73","0.00","1.83","Analyze"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$12,045,664,554","0.00%","53.47","11.67","8.02","Analyze"
"IP","International Paper","Common stocks","Large cap","Materials","$12,037,060,163","5.48%","6.75","0.63","1.34","Analyze"
"KIM","Kimco Realty Corporation","REITs","Large cap","Real Estate","$11,961,441,648","3.98%","13.02","7.92","1.19","Analyze"
"NLOK","NortonLifeLock Inc.","Common stocks","Large cap","Information Technology","$11,947,264,837","2.37%","19.00","4.27","-129.51","Analyze"
"STX","Seagate Technology Plc","Common stocks","Large cap","Information Technology","$11,899,320,000","4.84%","8.97","1.02","28.48","Analyze"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$11,863,974,564","1.28%","24.86","2.71","-2.86","Analyze"
